datetime,open,high,low,close
2025-09-24 01:30:00,3789.0,3791.48,3780.99,3785.14
2025-09-24 02:00:00,3785.57,3787.2,3778.57,3780.64
2025-09-24 02:30:00,3780.65,3788.34,3772.45,3785.28
2025-09-24 03:00:00,3785.29,3791.89,3784.88,3788.48
2025-09-24 03:30:00,3788.47,3789.31,3782.07,3783.73
2025-09-24 04:00:00,3783.74,3788.47,3783.27,3787.18
2025-09-24 04:30:00,3787.17,3788.86,3767.8,3767.8
2025-09-24 05:00:00,3767.81,3774.92,3763.57,3769.99
2025-09-24 05:30:00,3769.99,3780.51,3769.99,3777.42
2025-09-24 06:00:00,3777.41,3778.86,3774.75,3777.72
2025-09-24 06:30:00,3777.73,3778.8,3774.51,3777.03
2025-09-24 07:00:00,3777.11,3778.02,3774.71,3776.95
2025-09-24 07:30:00,3776.95,3778.37,3774.19,3777.65
2025-09-24 08:00:00,3777.64,3777.81,3773.36,3773.36
2025-09-24 08:30:00,3773.37,3777.82,3773.36,3774.78
2025-09-24 09:00:00,3774.77,3781.74,3774.21,3780.84
2025-09-24 09:30:00,3780.84,3780.85,3772.0,3774.33
2025-09-24 10:00:00,3774.34,3776.31,3768.66,3773.28
2025-09-24 10:30:00,3773.29,3774.68,3771.82,3773.37
2025-09-24 11:00:00,3773.37,3779.69,3768.18,3768.18
2025-09-24 11:30:00,3768.19,3769.83,3764.35,3766.06
2025-09-24 12:00:00,3766.06,3766.06,3760.57,3760.6
2025-09-24 12:30:00,3760.6,3768.05,3759.0,3765.83
2025-09-24 13:00:00,3765.84,3771.38,3761.04,3771.15
2025-09-24 13:30:00,3771.15,3783.84,3770.6,3777.79
2025-09-24 14:00:00,3777.79,3779.79,3772.34,3775.83
2025-09-24 14:30:00,3775.83,3779.33,3775.82,3778.72
2025-09-24 15:00:00,3778.72,3784.68,3778.72,3783.56
2025-09-24 15:30:00,3783.57,3787.79,3775.31,3785.3
2025-09-24 16:00:00,3785.3,3786.36,3783.23,3783.24
2025-09-24 16:30:00,3783.23,3784.5,3783.23,3783.59
2025-09-24 17:00:00,3783.59,3785.83,3783.23,3783.48
2025-09-24 17:30:00,3783.47,3788.79,3783.47,3786.2
2025-09-24 18:00:00,3786.31,3786.72,3780.43,3780.56
2025-09-24 18:30:00,3780.43,3780.62,3778.0,3778.87
2025-09-24 19:00:00,3778.88,3778.99,3776.02,3776.26
2025-09-24 19:30:00,3776.26,3777.2,3770.0,3774.03
2025-09-24 20:00:00,3774.02,3774.19,3767.76,3770.62
2025-09-24 20:30:00,3770.62,3771.99,3767.3,3769.82
2025-09-24 21:00:00,3769.83,3772.42,3768.24,3771.48
2025-09-24 21:30:00,3771.47,3776.37,3770.72,3776.1
2025-09-24 22:00:00,3776.1,3779.24,3773.92,3776.33
2025-09-24 22:30:00,3776.33,3779.03,3774.36,3777.84
2025-09-24 23:00:00,3777.83,3780.0,3776.53,3776.53
2025-09-24 23:30:00,3776.27,3776.52,3766.14,3769.48
2025-09-25 00:00:00,3769.16,3771.45,3762.52,3766.58
2025-09-25 00:30:00,3766.66,3767.02,3756.3,3760.12
2025-09-25 01:00:00,3760.14,3763.14,3758.0,3758.01
2025-09-25 01:30:00,3758.01,3758.97,3746.9,3746.98
2025-09-25 02:00:00,3747.29,3751.9,3743.48,3747.34
2025-09-25 02:30:00,3747.35,3748.27,3737.82,3740.33
2025-09-25 03:00:00,3740.23,3742.12,3738.07,3738.95
2025-09-25 03:30:00,3738.68,3739.55,3737.79,3738.44
2025-09-25 04:00:00,3738.44,3738.44,3729.46,3732.68
