datetime,open,high,low,close
2024-11-01 15:00:00,2751.82007,2757.69995,2747.27002,2749.72998
2024-11-01 19:00:00,2749.73999,2755.51001,2744.8999,2753.030029
2024-11-01 23:00:00,2753.1001,2762.31006,2739.86011,2744.77002
2024-11-02 03:00:00,2744.6499,2746.13989,2733.31006,2734.15991
2024-11-02 07:00:00,2734.31006,2736.91992,2733.3999,2736.3999
2024-11-04 07:00:00,2733.36011,2740.40991,2732.69995,2738.44995
2024-11-04 11:00:00,2738.48999,2742.44995,2735.56006,2741.090088
2024-11-04 15:00:00,2740.88989,2744.81006,2735.18994,2735.8999
2024-11-04 19:00:00,2735.87988,2745.30005,2732.01001,2740.6499
2024-11-04 23:00:00,2741.02002,2748.22998,2737.77002,2738.57007
2024-11-05 03:00:00,2738.62012,2739.72998,2732.050049,2738.38989
2024-11-05 07:00:00,2738.3999,2738.6499,2735.97998,2736.090088
2024-11-05 11:00:00,2736.21997,2736.73999,2724.78003,2735.34009
2024-11-05 15:00:00,2735.34009,2741.3501,2731.8501,2736.42993
2024-11-05 19:00:00,2736.3999,2745.01001,2732.18994,2742.17993
2024-11-05 23:00:00,2741.87988,2750.01001,2733.18994,2742.090088
2024-11-06 03:00:00,2742.090088,2744.52002,2736.3999,2740.47998
2024-11-06 07:00:00,2740.44995,2746.46997,2739.72998,2745.72998
2024-11-06 11:00:00,2745.71997,2749.72998,2730.6001,2734.22998
2024-11-06 15:00:00,2734.23999,2743.65991,2701.6499,2725.92993
2024-11-06 19:00:00,2725.93994,2733.61011,2696.37988,2699.42993
2024-11-06 23:00:00,2699.47998,2708.1001,2652.6001,2675.8501
2024-11-07 03:00:00,2676.01001,2678.1001,2661.71997,2667.15991
2024-11-07 07:00:00,2667.15991,2667.82007,2659.050049,2664.11011
2024-11-07 11:00:00,2664.11011,2664.27002,2643.77002,2659.56006
2024-11-07 15:00:00,2659.31006,2667.68994,2652.87988,2663.3501
2024-11-07 19:00:00,2663.62012,2668.46997,2657.46997,2666.26001
2024-11-07 23:00:00,2666.27002,2700.1499,2664.3999,2698.86011
2024-11-08 03:00:00,2698.8501,2700.38989,2687.55005,2694.44995
2024-11-08 07:00:00,2694.3999,2710.23999,2692.93994,2706.97998
2024-11-08 11:00:00,2706.97998,2710.43994,2694.13989,2695.28003
2024-11-08 15:00:00,2695.27002,2696.36011,2680.3999,2687.52002
2024-11-08 19:00:00,2687.6499,2694.98999,2682.030029,2691.84009
2024-11-08 23:00:00,2692.050049,2703.97998,2683.53003,2687.67993
2024-11-09 03:00:00,2687.52002,2689.3501,2683.12012,2687.18994
